States,Year,Quarter,Brand,User_Counts,Percentage
Arunachal Pradesh,2019,1,Oppo,10738,0.139532466
Arunachal Pradesh,2019,1,Realme,4413,0.057343711
Arunachal Pradesh,2019,1,Apple,1870,0.024299284
Arunachal Pradesh,2019,1,Gionee,1310,0.017022493
Arunachal Pradesh,2019,1,Motorola,1137,0.014774484
Arunachal Pradesh,2019,1,OnePlus,1114,0.014475616
Arunachal Pradesh,2019,1,Huawei,972,0.01263043
Arunachal Pradesh,2019,1,Others,6165,0.080109672
Arunachal Pradesh,2019,2,Xiaomi,23326,0.243270585
Arunachal Pradesh,2019,2,Samsung,19719,0.205652605
Arunachal Pradesh,2019,2,Vivo,18958,0.197716014
Arunachal Pradesh,2019,2,Oppo,13678,0.14265005
Arunachal Pradesh,2019,2,Realme,5425,0.056578193
Arunachal Pradesh,2019,2,Apple,2169,0.022620848
Arunachal Pradesh,2019,2,Gionee,1608,0.016770089
Arunachal Pradesh,2019,2,Motorola,1404,0.014642541
Arunachal Pradesh,2019,2,OnePlus,1251,0.013046879
Arunachal Pradesh,2019,2,Huawei,1175,0.012254263
Arunachal Pradesh,2019,2,Others,7172,0.074797935
Arunachal Pradesh,2019,3,Xiaomi,27394,0.244264327
Arunachal Pradesh,2019,3,Vivo,22731,0.202685713
